BEGINNEN,beginnt,begann,hat begonnen
BLEIBEN,bleibt,blieb,ist geblieben
BRINGEN,bringt,brachte,hat gebracht
DENKEN,denkt,dachte,hat gedacht
DÜRFEN,darf,durfte,hat gedurft
ESSEN,isst,aß,hat gegessen
FAHREN,färht,fuhr,ist gefahren
FANGEN,fängt,fing,hat gefangen
FLIEGEN,fliegt,flog,ist geflogen
GEBEN,gibt,gab,hat gegeben
GEHEN,geht,ging,ist gegangen
HABEN,hat,hatte,hat gehabt
HEIßEN,heiß,hieß,hat geheißen
HELFEN,hilft,half,hat geholfen
KENNEN,kennt,kannte,hat gekannt
KOMMEN,kommt,kam,ist gekommen
KÖNNEN,kann,konnte,hat gekonnt
LESEN,liest,las,hat gelesen
MÖGEN,mag,mochte,hat gemocht
MÜSSEN,muss,musste,hat gemusst
NEHMEN,nimmt,nahm,hat genommen
RUFEN,ruft,rief,hat gerufen
SCHLAFEN,schläft,schlief,hat geschlafen
SCHREIBEN,schreibt,schrieb,hat geschrieben
SCHWIMMEN,schwimmt,schwamm,ist geschwommen
SEHEN,sieht,sah,hat gesehen
SEIN,ist,war,ist gewesen
SINGEN,singt,sang,hat gesungen
SOLLEN,soll,sollte,hat gesollt
SPRECHEN,spricht,sprach,hat gesprochen
STEHEN,steht,stand,hat gestanden
TREFFEN,trifft,traf,hat getroffen
TRINKEN,trinkt,trank,hat getrunken
TUN,tut,tat,hat getan
WISSEN,weiß,wusste,hat gewusst
WOLLEN,will,wollte,hat gewollt
BACKEN,backt,buk,hat gebacken
BIEGEN,biegt,bog,ist gebogen
BIETEN,bietet,bot,hat geboten
BITTEN,bittet,bat,hat gebeten
BRATEN,brät,briet,hat gebraten
FALLEN,fällt,fiel,ist gefallen
GEFALLEN,gefällt,gefiel,hat gefallen
GEWINNEN,gewinnt,gewann,hat gewonnen
LADEN,lädt,lud,hat geladen
LAUFEN,läuft,lief,ist gelaufen
LIEGEN,liegt,lag,hat gelegen
NENNEN,nennt,nannte,hat genannt
RENNEN,rennt,rannte,ist gerannt
RIECHEN,riecht,roch,hat gerochen
SCHLIEßEN,schließen,schloss,hat geschlossen
SITZEN,sitzt,saß,hat gesessen
STEIGEN,steigen,stieg,ist gestiegen
STERBEN,stirbt,starb,ist gestorben
TREIBEN,treibt,trieb,ist getrieben
VERGESSEN,vergisst,vergaß,hat vergessen
VERLIEREN,verliert,verlor,hat verloren
WACHSEN,wächst,wuchs,ist gewachsen
